id,close_approach_date,epoch_date_close_approach,relative_velocity,miss_distance,orbiting_body,asteroid_near_earth_object_neo_reference_id,created_at,updated_at
7676,1900-12-27,-2177856000000,"{""miles_per_hour"": ""12478.8061141627"", ""kilometers_per_hour"": ""20083.0175738682"", ""kilometers_per_second"": ""5.5786159927""}","{""lunar"": ""122.5075683594"", ""miles"": ""29274524"", ""kilometers"": ""47112780"", ""astronomical"": ""0.3149294921""}",Earth,2000433,2017-07-29 19:29:14.976306,2017-07-29 19:29:14.976306
7677,1907-11-05,-1961510400000,"{""miles_per_hour"": ""9830.0436705239"", ""kilometers_per_hour"": ""15820.1784674711"", ""kilometers_per_second"": ""4.3944940187""}","{""lunar"": ""183.4079437256"", ""miles"": ""43827336"", ""kilometers"": ""70533264"", ""astronomical"": ""0.4714857293""}",Earth,2000433,2017-07-29 19:29:14.983285,2017-07-29 19:29:14.983285
7678,1917-04-20,-1663084800000,"{""miles_per_hour"": ""10774.6543811812"", ""kilometers_per_hour"": ""17340.4067111862"", ""kilometers_per_second"": ""4.816779642""}","{""lunar"": ""194.2109985352"", ""miles"": ""46408844"", ""kilometers"": ""74687792"", ""astronomical"": ""0.499257058""}",Earth,2000433,2017-07-29 19:29:14.992803,2017-07-29 19:29:14.992803
7679,1924-03-05,-1446134400000,"{""miles_per_hour"": ""10280.9363863726"", ""kilometers_per_hour"": ""16545.8317273644"", ""kilometers_per_second"": ""4.5960643687""}","{""lunar"": ""139.9568481445"", ""miles"": ""33444220"", ""kilometers"": ""53823256"", ""astronomical"": ""0.3597862528""}",Earth,2000433,2017-07-29 19:29:14.999194,2017-07-29 19:29:14.999194
7680,1931-01-30,-1228233600000,"{""miles_per_hour"": ""13244.2819405509"", ""kilometers_per_hour"": ""21314.9514891069"", ""kilometers_per_second"": ""5.9208198581""}","{""lunar"": ""67.7144165039"", ""miles"": ""16181100"", ""kilometers"": ""26040956"", ""astronomical"": ""0.174073035""}",Earth,2000433,2017-07-29 19:29:15.006409,2017-07-29 19:29:15.006409
7681,1938-01-13,-1008777600000,"{""miles_per_hour"": ""13609.4217337351"", ""kilometers_per_hour"": ""21902.5965583827"", ""kilometers_per_second"": ""6.0840545996""}","{""lunar"": ""83.6371307373"", ""miles"": ""19986008"", ""kilometers"": ""32164362"", ""astronomical"": ""0.2150054736""}",Earth,2000433,2017-07-29 19:29:15.012718,2017-07-29 19:29:15.012718
7682,1944-11-27,-791917200000,"{""miles_per_hour"": ""8111.2222603837"", ""kilometers_per_hour"": ""13053.9586648404"", ""kilometers_per_second"": ""3.6260996291""}","{""lunar"": ""156.7705841064"", ""miles"": ""37462048"", ""kilometers"": ""60289320"", ""astronomical"": ""0.4030092196""}",Earth,2000433,2017-07-29 19:29:15.019349,2017-07-29 19:29:15.019349
7683,1961-04-04,-275932800000,"{""miles_per_hour"": ""8294.0566435417"", ""kilometers_per_hour"": ""13348.206856252"", ""kilometers_per_second"": ""3.7078352378""}","{""lunar"": ""172.12940979"", ""miles"": ""41132204"", ""kilometers"": ""66195868"", ""astronomical"": ""0.4424920423""}",Earth,2000433,2017-07-29 19:29:15.025798,2017-07-29 19:29:15.025798
7684,1968-02-11,-59587200000,"{""miles_per_hour"": ""13571.020180801"", ""kilometers_per_hour"": ""21840.7942468969"", ""kilometers_per_second"": ""6.0668872908""}","{""lunar"": ""103.5795440674"", ""miles"": ""24751466"", ""kilometers"": ""39833624"", ""astronomical"": ""0.2662713107""}",Earth,2000433,2017-07-29 19:29:15.032161,2017-07-29 19:29:15.032161
7685,1975-01-23,159696000000,"{""miles_per_hour"": ""13030.6355830433"", ""kilometers_per_hour"": ""20971.1154271339"", ""kilometers_per_second"": ""5.8253098409""}","{""lunar"": ""58.791229248"", ""miles"": ""14048808"", ""kilometers"": ""22609364"", ""astronomical"": ""0.1511342649""}",Earth,2000433,2017-07-29 19:29:15.038426,2017-07-29 19:29:15.038426
7686,1981-12-29,378460800000,"{""miles_per_hour"": ""12672.6495343642"", ""kilometers_per_hour"": ""20394.9833804422"", ""kilometers_per_second"": ""5.6652731612""}","{""lunar"": ""120.0023727417"", ""miles"": ""28675880"", ""kilometers"": ""46149356"", ""astronomical"": ""0.3084893877""}",Earth,2000433,2017-07-29 19:29:15.044848,2017-07-29 19:29:15.044848
7687,1988-11-06,594806400000,"{""miles_per_hour"": ""9631.8715361331"", ""kilometers_per_hour"": ""15501.2461576642"", ""kilometers_per_second"": ""4.3059017105""}","{""lunar"": ""181.9120483398"", ""miles"": ""43469876"", ""kilometers"": ""69957984"", ""astronomical"": ""0.4676402356""}",Earth,2000433,2017-07-29 19:29:15.051358,2017-07-29 19:29:15.051358
7688,2005-03-08,1110268800000,"{""miles_per_hour"": ""9869.8630305064"", ""kilometers_per_hour"": ""15884.262555243"", ""kilometers_per_second"": ""4.4122951542""}","{""lunar"": ""142.2056732178"", ""miles"": ""33981600"", ""kilometers"": ""54688084"", ""astronomical"": ""0.3655672575""}",Earth,2000433,2017-07-29 19:29:15.059664,2017-07-29 19:29:15.059664
7689,2012-01-31,1327996800000,"{""miles_per_hour"": ""13298.8134843846"", ""kilometers_per_hour"": ""21402.7129258279"", ""kilometers_per_second"": ""5.945198035""}","{""lunar"": ""69.5049285889"", ""miles"": ""16608963"", ""kilometers"": ""26729536"", ""astronomical"": ""0.1786758987""}",Earth,2000433,2017-07-29 19:29:15.066101,2017-07-29 19:29:15.066101
7690,2019-01-15,1547539200000,"{""miles_per_hour"": ""13521.8797036226"", ""kilometers_per_hour"": ""21761.7090317142"", ""kilometers_per_second"": ""6.0449191755""}","{""lunar"": ""81.1448745728"", ""miles"": ""19390456"", ""kilometers"": ""31205916"", ""astronomical"": ""0.2085986532""}",Earth,2000433,2017-07-29 19:29:15.072613,2017-07-29 19:29:15.072613
7691,2025-11-30,1764489600000,"{""miles_per_hour"": ""8341.0736487403"", ""kilometers_per_hour"": ""13423.8746191001"", ""kilometers_per_second"": ""3.7288540609""}","{""lunar"": ""154.6848449707"", ""miles"": ""36963636"", ""kilometers"": ""59487208"", ""astronomical"": ""0.3976474073""}",Earth,2000433,2017-07-29 19:29:15.078951,2017-07-29 19:29:15.078951
