neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,created_at,updated_at
2000433,433 Eros (1898 DQ),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,11.16,"""{\""kilometers\"":{\""estimated_diameter_min\"":15.5795524128,\""estimated_diameter_max\"":34.836938254},\""meters\"":{\""estimated_diameter_min\"":15579.5524127829,\""estimated_diameter_max\"":34836.9382540034},\""miles\"":{\""estimated_diameter_min\"":9.6806820623,\""estimated_diameter_max\"":21.6466631598},\""feet\"":{\""estimated_diameter_min\"":51114.0187379546,\""estimated_diameter_max\"":114294.4205012645}}""",f,2017-07-29 19:29:14.969006,2017-07-29 19:29:14.969006
2001566,1566 Icarus (1949 MA),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001566,16.9,"""{\""kilometers\"":{\""estimated_diameter_min\"":1.1080388213,\""estimated_diameter_max\"":2.4776501261},\""meters\"":{\""estimated_diameter_min\"":1108.0388212642,\""estimated_diameter_max\"":2477.6501260554},\""miles\"":{\""estimated_diameter_min\"":0.6885031904,\""estimated_diameter_max\"":1.5395399365},\""feet\"":{\""estimated_diameter_min\"":3635.2980863563,\""estimated_diameter_max\"":8128.7736395675}}""",t,2017-07-29 19:29:15.221094,2017-07-29 19:29:15.221094
2001036,1036 Ganymed (1924 TD),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001036,9.45,"""{\""kilometers\"":{\""estimated_diameter_min\"":34.241673084,\""estimated_diameter_max\"":76.5667086792},\""meters\"":{\""estimated_diameter_min\"":34241.6730840035,\""estimated_diameter_max\"":76566.7086791567},\""miles\"":{\""estimated_diameter_min\"":21.2767826459,\""estimated_diameter_max\"":47.5763323387},\""feet\"":{\""estimated_diameter_min\"":112341.4507209221,\""estimated_diameter_max\"":251203.1205029245}}""",f,2017-07-29 19:29:16.048935,2017-07-29 19:29:16.048935
2000719,719 Albert (1911 MT),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.5,"""{\""kilometers\"":{\""estimated_diameter_min\"":2.1113244479,\""estimated_diameter_max\"":4.7210649881},\""meters\"":{\""estimated_diameter_min\"":2111.3244478971,\""estimated_diameter_max\"":4721.0649880552},\""miles\"":{\""estimated_diameter_min\"":1.3119157835,\""estimated_diameter_max\"":2.9335328727},\""feet\"":{\""estimated_diameter_min\"":6926.9177016389,\""estimated_diameter_max\"":15489.0588554111}}""",f,2017-07-29 19:29:16.157176,2017-07-29 19:29:16.157176
2000887,887 Alinda (1918 DB),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.4,"""{\""kilometers\"":{\""estimated_diameter_min\"":5.5533491158,\""estimated_diameter_max\"":12.4176661257},\""meters\"":{\""estimated_diameter_min\"":5553.34911581,\""estimated_diameter_max\"":12417.6661257396},\""miles\"":{\""estimated_diameter_min\"":3.4506900934,\""estimated_diameter_max\"":7.7159776182},\""feet\"":{\""estimated_diameter_min\"":18219.6499131142,\""estimated_diameter_max\"":40740.3757319715}}""",f,2017-07-29 19:29:16.278058,2017-07-29 19:29:16.278058
2001221,1221 Amor (1932 EA1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001221,17.7,"""{\""kilometers\"":{\""estimated_diameter_min\"":0.7665755735,\""estimated_diameter_max\"":1.7141150923},\""meters\"":{\""estimated_diameter_min\"":766.5755735311,\""estimated_diameter_max\"":1714.1150923063},\""miles\"":{\""estimated_diameter_min\"":0.4763278307,\""estimated_diameter_max\"":1.065101409},\""feet\"":{\""estimated_diameter_min\"":2515.0118046636,\""estimated_diameter_max\"":5623.7373594423}}""",f,2017-07-29 19:29:16.383492,2017-07-29 19:29:16.383492
2001580,1580 Betulia (1950 KA),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.8,"""{\""kilometers\"":{\""estimated_diameter_min\"":2.9144390453,\""estimated_diameter_max\"":6.5168838217},\""meters\"":{\""estimated_diameter_min\"":2914.4390453486,\""estimated_diameter_max\"":6516.883821679},\""miles\"":{\""estimated_diameter_min\"":1.810947904,\""estimated_diameter_max\"":4.0494026172},\""feet\"":{\""estimated_diameter_min\"":9561.8081975415,\""estimated_diameter_max\"":21380.8531175174}}""",f,2017-07-29 19:29:16.578698,2017-07-29 19:29:16.578698
2001620,1620 Geographos (1951 RA),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.6,"""{\""kilometers\"":{\""estimated_diameter_min\"":2.0162991944,\""estimated_diameter_max\"":4.5085820617},\""meters\"":{\""estimated_diameter_min\"":2016.2991944276,\""estimated_diameter_max\"":4508.5820617181},\""miles\"":{\""estimated_diameter_min\"":1.2528698467,\""estimated_diameter_max\"":2.8015021443},\""feet\"":{\""estimated_diameter_min\"":6615.1550490457,\""estimated_diameter_max\"":14791.9363713673}}""",t,2017-07-29 19:29:16.755037,2017-07-29 19:29:16.755037
2001627,1627 Ivar (1929 SH),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001627,13.2,"""{\""kilometers\"":{\""estimated_diameter_min\"":6.0891262211,\""estimated_diameter_max\"":13.6157001539},\""meters\"":{\""estimated_diameter_min\"":6089.1262210567,\""estimated_diameter_max\"":13615.7001538593},\""miles\"":{\""estimated_diameter_min\"":3.7836064491,\""estimated_diameter_max\"":8.4604012203},\""feet\"":{\""estimated_diameter_min\"":19977.4488710918,\""estimated_diameter_max\"":44670.9336927877}}""",f,2017-07-29 19:29:17.301068,2017-07-29 19:29:17.301068
2001863,1863 Antinous (1948 EA),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001863,15.54,"""{\""kilometers\"":{\""estimated_diameter_min\"":2.0727884338,\""estimated_diameter_max\"":4.6348958409},\""meters\"":{\""estimated_diameter_min\"":2072.7884337708,\""estimated_diameter_max\"":4634.8958408869},\""miles\"":{\""estimated_diameter_min\"":1.2879706219,\""estimated_diameter_max\"":2.8799898635},\""feet\"":{\""estimated_diameter_min\"":6800.4872050527,\""estimated_diameter_max\"":15206.3516706153}}""",f,2017-07-29 19:29:17.461553,2017-07-29 19:29:17.461553
2001862,1862 Apollo (1932 HA),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001862,16.25,"""{\""kilometers\"":{\""estimated_diameter_min\"":1.4947032424,\""estimated_diameter_max\"":3.3422580561},\""meters\"":{\""estimated_diameter_min\"":1494.7032423559,\""estimated_diameter_max\"":3342.2580560972},\""miles\"":{\""estimated_diameter_min\"":0.9287652484,\""estimated_diameter_max\"":2.0767822306},\""feet\"":{\""estimated_diameter_min\"":4903.8821856511,\""estimated_diameter_max\"":10965.4139207661}}""",t,2017-07-29 19:29:17.666092,2017-07-29 19:29:17.666092
